N_estagios,pos_alimentacao,razao_refluxo,corte_pct,pressao,z_propeno,pureza_topo,recuperacao,Q_refervedor,R_sobre_Rmin,T_condensador
240,0.3928839440692216,17.05956108368933,97.16849805895299,20.10147497674264,0.8448818055827636,98.97846145164053,96.17588439441886,48.73865575484687,1.330914078095383,48.76029477338614
210,0.682270654958114,12.45665796951205,98.99385237577874,18.73319431511313,0.8611938249228754,98.47683293622829,97.48601062123208,38.78611293689096,1.075996201634029,45.4660660767276
100,0.5364885107053443,15.99661909593642,98.71378503505052,21.40306707508117,0.7424414619073737,95.63654455827383,94.40645301020474,39.84236348791199,1.356391131717175,51.75161846994109
210,0.4291115981171839,16.50220330406725,97.47788098897533,19.9628659653943,0.8582899139838991,98.92543501067645,96.43041780753332,48.27542678728594,1.305442628179498,48.43386164707954
170,0.4121190126602537,18.49813414353132,98.56225625223065,14.42935572489165,0.6282495469993679,98.82247341217374,97.40165947929918,44.44496037757095,1.563345830948907,33.84916365338773
150,0.5500083030773326,9.871846026357263,97.80864119256776,19.39013531836867,0.6712811031511752,90.89190221234414,88.90013450797125,23.81232278381198,1.022344318090856,47.06799448753122
100,0.6352585497123189,11.45182833181694,97.41871146770346,21.02288791067153,0.6893098305061692,91.79270339873189,89.42326887241545,26.96152723358089,1.109992617889428,50.89130648768571
220,0.3648758718425408,22.41191572082415,99.31750442779071,16.56444809065945,0.6843632716638268,99.40817251317952,98.72971613736289,56.18043509440291,1.822865002211439,39.87966396262857
160,0.5599773389779963,8.650628449864685,98.33599104188984,19.37923281987198,0.6587220394110074,87.99654149201889,86.53227115876457,20.85855018229721,1.005198147182515,47.04172176011593
100,0.3231878272940404,20.27854708569497,99.22042959039288,19.23850618919544,0.6932312196280108,95.36239018518134,94.61897320940359,48.97624786842416,1.78629840870606,46.70166767006316
180,0.5161373301564716,13.05765984077752,98.48124138746485,20.64519075312279,0.6944967540540034,95.39607097156416,93.94723492766339,31.25003854934467,1.098239341362916,50.02581648100295
240,0.5621320914317853,22.85667247810587,99.35751189428906,17.19671571258642,0.8937758699488594,99.96220616457396,99.31996087976032,73.86579085897496,1.838983825560858,41.55902499594259
180,0.3183592700415291,13.61112145160511,97.91315433636078,19.486971599387,0.7330068174524232,95.5760435128054,93.58151899328048,34.91298304052686,1.226447505662857,47.30089703504649
200,0.6222976098980755,11.08616006558388,99.88353408919176,18.66930818546005,0.7238297954548616,95.30099810748129,95.19000493202606,29.58084475973943,1.029971345524912,45.30819243796049
250,0.3296902265429497,12.67315800732747,99.30685609807499,21.97507281438634,0.6695592017061542,93.3356624066396,92.68871195434666,28.72334472747678,1.080302034915186,53.02621797201408
230,0.3037327936434187,12.32765566678718,99.03600412882383,15.20903872323222,0.6832789109123871,96.39826810870211,95.4689927842489,32.69845087642566,1.163503640481703,36.12052757129749
220,0.582868050943967,17.90116297416762,99.42518471687863,19.29481856968254,0.6654911023684311,99.15798754751476,98.58801228065607,41.80146385056506,1.339340149094689,46.83795015304128
120,0.661432365165092,20.44264333582297,97.50862877579148,16.24977360125072,0.831620012710942,99.48603708360451,97.00747058359818,61.7693412526992,1.764488544155351,39.02693202728631
140,0.3811593921729363,16.89338639516383,99.67842769164756,15.27449833052792,0.660106210994278,97.48794714513591,97.17445290313589,42.6318761443799,1.497041382291026,36.3074225238442
