N,pos,R,corte,P,lucro,pureza_nom,pureza_pior,Q,cascos,recuperacao,altura,aprox,precisa_refrig
210.000000,0.685013,21.889406,99.655838,16.515003,54.044171,99.932210,99.888460,60.458521,3.000000,99.588281,151.600000,10.000000,1.000000
290.000000,0.705461,19.477341,99.781202,19.840759,61.747522,99.862647,99.789896,50.649346,4.000000,99.644150,208.000000,8.144977,0.000000
310.000000,0.669699,17.536129,99.742346,18.676373,62.512600,99.834423,99.739685,46.934224,4.000000,99.577196,222.400000,5.325669,0.000000
250.000000,0.656700,20.344699,99.604393,16.529664,55.097695,99.945759,99.910201,56.333052,3.000000,99.550366,179.800000,10.000000,1.000000
320.000000,0.688294,20.505689,99.514465,18.662789,59.289696,99.963304,99.942058,54.343803,4.000000,99.477947,229.600000,5.292062,0.000000
260.000000,0.709068,17.464827,99.858349,18.652097,63.467066,99.749880,99.604461,46.831069,4.000000,99.608583,187.000000,5.265596,0.000000
310.000000,0.688935,20.998418,99.640762,20.472840,60.223191,99.907964,99.860525,53.625664,4.000000,99.549057,222.400000,9.627205,0.000000
300.000000,0.682797,16.462854,99.714080,16.596211,58.830055,99.889547,99.817613,46.078313,4.000000,99.603943,215.200000,10.000000,1.000000
300.000000,0.590076,19.548092,99.727156,19.199872,61.106902,99.837881,99.745499,51.469896,4.000000,99.565479,215.200000,6.608006,0.000000
300.000000,0.732983,18.470522,99.635854,20.472246,62.603019,99.779630,99.669845,47.461651,4.000000,99.416286,215.200000,9.625829,0.000000
210.000000,0.631658,20.189279,99.508044,18.620919,61.561589,99.723045,99.556280,53.586177,3.000000,99.232452,151.600000,5.188362,0.000000
280.000000,0.679787,19.118817,99.508619,19.726827,61.790232,99.811809,99.709687,49.743453,4.000000,99.321353,201.400000,7.874310,0.000000
270.000000,0.729177,18.431204,99.655616,18.984538,62.353023,99.839327,99.749434,48.851304,4.000000,99.495496,194.200000,6.083538,0.000000
310.000000,0.583150,21.439823,99.698559,19.162287,59.171130,99.918992,99.872098,56.235416,4.000000,99.617796,222.400000,6.516762,0.000000
230.000000,0.734723,21.028283,99.767634,20.131521,61.727168,99.795532,99.690894,54.150867,3.000000,99.563641,166.000000,8.830848,0.000000
230.000000,0.696478,19.166624,99.913470,19.160668,63.000796,99.736934,99.590106,50.649268,3.000000,99.650631,166.000000,6.512828,0.000000
310.000000,0.705558,20.210261,99.608936,19.211890,60.191949,99.942324,99.910316,53.052526,4.000000,99.551485,222.400000,6.637156,0.000000
290.000000,0.622432,21.232523,99.843254,19.434218,60.043820,99.902133,99.846626,55.487239,4.000000,99.745541,208.000000,7.174120,0.000000
250.000000,0.646832,20.627576,99.885433,20.813161,62.262021,99.702795,99.547342,52.474729,3.000000,99.588569,179.800000,10.412069,0.000000
230.000000,0.708608,20.588211,99.914400,20.124673,62.294051,99.752812,99.625072,53.154697,3.000000,99.667424,166.000000,8.814774,0.000000
