Run,N_estagios,pos_alimentacao,razao_refluxo,corte_pct,pressao,z_propeno,F_alimentacao,pureza_topo,pureza_fundo,recuperacao,grau_produto,Q_refervedor,Q_condensador,T_condensador,T_refervedor,precisa_refrig,diametro,altura_total,n_cascos,alfa_topo,alfa_fundo,N_min,R_min,R_sobre_Rmin,CAPEX,CAPEX_anual,OPEX,custo_total,lucro,convergiu,Solved
798,190,0.6984918360856361,15.58892959871143,99.65068046526453,14.2741756649632,0.7651086192437215,1000,99.71786815187356,97.96949563769705,99.36953415879731,2,46.70046646798641,46.70046646798641,33.38672067369896,41.61252005576426,1,4.736771046172336,137.8,3,1.086691869111659,1.189325894705577,75.97003266609801,11.23090385497868,1.388038736686436,40.83678974902505,5.368966984259846,17.1608647447694,22.52983172902925,63.40371813849078,1,1
799,240,0.5016414452262222,23.98840849137306,97.84782267469028,18.65153735652007,0.660313515408989,1000,99.75430779508704,95.53584401909787,97.60741820170149,2,54.67490551699013,54.67490551699013,45.26421028797995,53.76181996360776,0,5.134283536645174,173.2,3,1.071924938900952,1.172594422090871,79.32494298996238,13.40044703721576,1.790120017992861,51.62914747566484,6.787879016100793,15.13109785214196,21.91897686824275,40.17289475699268,1,1
800,200,0.5608508805541321,22.43359658150002,99.46133535298787,14.62711142470315,0.6333247354597784,1000,99.86475863364804,98.84799993640486,99.32682248406459,2,54.12933926755198,54.12933926755198,34.43337557203046,42.68438299676887,1,5.09718090931826,145,3,1.085320039768081,1.18885720693362,86.76349825113952,12.22107377545315,1.835648568504628,45.70830893733994,6.00944401112691,19.89072786951644,25.90017188064335,32.82738938648959,1,1
801,230,0.6177168261856771,11.7485410150215,98.56460793448792,20.24024973776564,0.6079091440784046,1000,92.57764025687798,86.72724656656317,91.24878815419245,1,25.03869665648621,25.03869665648621,49.085547344367,57.66397083031774,0,3.489533283689346,166,3,1.075517593699095,1.159722546025152,39.82757924020079,11.65225954683049,1.008262901096912,30.78986424734161,4.048059742447468,6.929375837360371,10.97743557980784,1.398425378625074,1,1
802,210,0.544117964779213,8.394467772196979,99.46858117790677,15.22118286159448,0.7363926694673952,1000,92.89744904847292,79.0901952604882,92.40377451898489,1,24.94289320387234,24.94289320387234,36.15524364420884,44.44719256949111,1,3.458229027037215,151.6,3,1.092002723331267,1.169758688382524,31.8728759274589,8.357023088363377,1.004480624671929,30.08227755595638,3.955030647655813,9.165681822649622,13.12071247030543,17.66833445312182,1,1
803,210,0.5174270813029259,9.068652914486826,98.97010688145092,17.63156191710569,0.617374829957122,1000,88.32866729819347,80.03203769205015,87.41897643198327,0,21.2652712420019,21.2652712420019,42.68889403743486,51.13022052118254,0,3.196237270308943,151.6,3,1.089487451085704,1.162512125731552,28.88160870117507,9.048483489027264,1.002229039317364,29.73880610324925,3.909873158515413,5.885092931986554,9.794966090501966,-78.3596106400806,1,1
804,200,0.4630864143785089,22.81843971131742,97.56077633957055,18.61357683562115,0.7981091253306717,1000,99.62084180902337,89.87165827916594,97.19086666489871,2,62.85393576692994,62.85393576692994,45.17016080270469,53.66574083647822,0,5.504487871951281,145,3,1.072220555810806,1.167925797163557,68.93829148045451,12.73628402532902,1.791608892039289,50.74844752220865,6.672090066915375,17.39461721037864,24.06670727729401,65.25452314646449,1,1
805,170,0.3544895341464318,19.44499943587184,99.41054362142299,16.3462376472,0.6167707318872911,1000,98.01911583526761,95.92077420433789,97.44133590475184,1,44.44734436286183,44.44734436286183,39.28957079033222,47.6543589452591,1,4.615717784890871,123.4,3,1.081856032144601,1.180667154509166,57.68343415494543,12.27451391801695,1.584176739359902,37.48099091148727,4.9277674366145,16.33291747520629,21.2606849118208,-7.186448343990918,1,1
806,150,0.3220901546628214,22.94050658332556,99.56357508165243,17.84849125039391,0.7611452522683656,1000,98.4764386760548,93.86078850460143,98.04666295897123,1,62.44043204147052,62.44043204147052,43.24521923785181,51.69882832643469,0,5.478659971048954,109.6,2,1.076230927392803,1.173893689548297,58.99180636395984,11.84370889824154,1.936936037555904,44.33094158517429,5.828356323176334,17.28018143270349,23.10853775587983,10.91158750625723,1,1
807,210,0.3173336612137034,9.103573553346097,98.99994237857167,18.27089249568991,0.8426943014814752,1000,95.33953798186133,71.45524244030945,94.38608766603917,1,28.76497880462536,28.76497880462536,44.31498348490322,52.79201858133627,0,3.721228434333616,151.6,3,1.078725007968862,1.152374548947936,36.1750715751621,8.757674538575557,1.03949667383127,33.79390413038639,4.443012211791666,7.960612000917387,12.40362421270905,32.35032859106686,1,1
808,110,0.6929079459826462,18.22597838104144,97.90839521914117,21.77546442422643,0.7378392210567137,1000,96.95821429703655,86.52463232440991,94.93023165136437,1,44.06986342406152,44.06986342406152,52.58407796328117,61.23366182939634,0,4.656683476347379,81.39999999999999,2,1.064923808946848,1.154381825672148,51.54692154313694,12.79467672796079,1.424496981718294,26.64437459726656,3.50303656110459,12.19618780306428,15.69922436416887,13.54388745044125,1,1
809,140,0.5731641637183726,13.39644681048021,98.20352230624806,16.1101221813634,0.6401660409355536,1000,96.72643035667502,91.36082020298542,94.98876161135486,1,32.23989877645687,32.23989877645687,38.64474657787844,46.99472736265199,1,3.930857051095253,102.4,2,1.084265547617057,1.177621701765177,47.00917212709032,11.45958594007626,1.16901665387668,27.13253717657685,3.567217139141595,11.84708813705535,15.41430527619694,0.8813343781010341,1,1
